"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","nouvelle-caledonie.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","nouvelle-caledonie.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","nouvelle-caledonie.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","nouvelle-caledonie.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","nouvelle-caledonie.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","nouvelle-caledonie.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","nouvelle-caledonie.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","nouvelle-caledonie.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","nouvelle-caledonie.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","nouvelle-caledonie.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","nouvelle-caledonie.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","nouvelle-caledonie.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","nouvelle-caledonie.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","nouvelle-caledonie.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","7B6C2B77BA699F75397FB3858F62B35B","",""
"cert_serialNumberLen","nouvelle-caledonie.gouv.fr/77.159.252.140","443","INFO","16","",""
