"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","peren.gouv.fr/51.159.170.2","443","INFO","HTTP","",""
"pre_128cipher","peren.gouv.fr/51.159.170.2","443","INFO","No 128 cipher limit bug","",""
"SSLv2","peren.gouv.fr/51.159.170.2","443","OK","not offered","",""
"SSLv3","peren.gouv.fr/51.159.170.2","443","OK","not offered","",""
"TLS1","peren.gouv.fr/51.159.170.2","443","INFO","not offered","",""
"TLS1_1","peren.gouv.fr/51.159.170.2","443","INFO","not offered","",""
"TLS1_2","peren.gouv.fr/51.159.170.2","443","OK","offered","",""
"TLS1_3","peren.gouv.fr/51.159.170.2","443","OK","offered with final","",""
"ALPN_HTTP2","peren.gouv.fr/51.159.170.2","443","OK","h2","",""
"ALPN","peren.gouv.fr/51.159.170.2","443","INFO","http/1.1","",""
"cipherlist_NULL","peren.gouv.fr/51.159.170.2","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","peren.gouv.fr/51.159.170.2","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","peren.gouv.fr/51.159.170.2","443","OK","not offered","","CWE-327"
"cipherlist_LOW","peren.gouv.fr/51.159.170.2","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","peren.gouv.fr/51.159.170.2","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","peren.gouv.fr/51.159.170.2","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","peren.gouv.fr/51.159.170.2","443","INFO","not offered","",""
"cipherlist_STRONG_FS","peren.gouv.fr/51.159.170.2","443","OK","offered","",""
"cipher_order-tls1_2","peren.gouv.fr/51.159.170.2","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","peren.gouv.fr/51.159.170.2","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","peren.gouv.fr/51.159.170.2","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","peren.gouv.fr/51.159.170.2","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","peren.gouv.fr/51.159.170.2","443","INFO","NOT a cipher order configured","",""
"FS","peren.gouv.fr/51.159.170.2","443","OK","offered","",""
"FS_ciphers","peren.gouv.fr/51.159.170.2","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","peren.gouv.fr/51.159.170.2","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","peren.gouv.fr/51.159.170.2","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","peren.gouv.fr/51.159.170.2","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","peren.gouv.fr/51.159.170.2","443","INFO","yes","",""
"sessionresumption_ticket","peren.gouv.fr/51.159.170.2","443","INFO","supported","",""
"sessionresumption_ID","peren.gouv.fr/51.159.170.2","443","INFO","not supported","",""
"TLS_timestamp","peren.gouv.fr/51.159.170.2","443","INFO","random","",""
"certificate_compression","peren.gouv.fr/51.159.170.2","443","INFO","none","",""
"clientAuth","peren.gouv.fr/51.159.170.2","443","INFO","none","",""
"cert_numbers","peren.gouv.fr/51.159.170.2","443","INFO","1","",""
"cert_signatureAlgorithm","peren.gouv.fr/51.159.170.2","443","OK","SHA256 with RSA","",""
"cert_keySize","peren.gouv.fr/51.159.170.2","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","peren.gouv.fr/51.159.170.2","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","peren.gouv.fr/51.159.170.2","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","peren.gouv.fr/51.159.170.2","443","INFO","037BC43853C7A92E817B555DE5C96E6772C6","",""
"cert_serialNumberLen","peren.gouv.fr/51.159.170.2","443","INFO","18","",""
"cert_fingerprintSHA1","peren.gouv.fr/51.159.170.2","443","INFO","518D60490EF78646E3086A80241763DC7FBFD9E6","",""
"cert_fingerprintSHA256","peren.gouv.fr/51.159.170.2","443","INFO","676EBC52A039964E7EA13E73CE382696A57F394A4FC2D3FFDB04FDA936B62CB2","",""
