"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","HTTP","",""
"pre_128cipher","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","OK","not offered","",""
"SSLv3","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","OK","not offered","",""
"TLS1","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","not offered","",""
"TLS1_1","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","not offered","",""
"TLS1_2","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","OK","offered","",""
"TLS1_3","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","not offered","",""
"cipherlist_NULL","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","OK","offered","",""
"cipher_order-tls1_2","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","OK","server","",""
"cipherorder_TLSv1_2","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","OK","server","",""
"FS","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","OK","offered","",""
"FS_ciphers","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","yes","",""
"sessionresumption_ticket","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","not supported","",""
"sessionresumption_ID","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","supported","",""
"TLS_timestamp","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","random","",""
"cert_compression","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","N/A","",""
"clientAuth","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","none","",""
"cert_numbers","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","1","",""
"cert_signatureAlgorithm","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","OK","SHA256 with RSA","",""
"cert_keySize","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","TLS Web Client Authentication, TLS Web Server Authentication","",""
"cert_serialNumber","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","E12E121F13CCD7039B318D7225C995FB","",""
"cert_serialNumberLen","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","16","",""
"cert_fingerprintSHA1","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","D013DAE499167F31F7CF71817422C93C2DDCB653","",""
"cert_fingerprintSHA256","pprod-derog-zones-interdites-admin.cnmosis.dirisi.defense.gouv.fr/107.154.50.81","443","INFO","EEE564B339AEDC8740DAFA7D74647FFBF1B6D14122EAAB4201B714C55BC23A41","",""
