"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","HTTP","",""
"pre_128cipher","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","No 128 cipher limit bug","",""
"SSLv2","programme-nitrate.gouv.fr/79.137.76.37","443","OK","not offered","",""
"SSLv3","programme-nitrate.gouv.fr/79.137.76.37","443","OK","not offered","",""
"TLS1","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","not offered","",""
"TLS1_1","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","not offered","",""
"TLS1_2","programme-nitrate.gouv.fr/79.137.76.37","443","OK","offered","",""
"TLS1_3","programme-nitrate.gouv.fr/79.137.76.37","443","OK","offered with final","",""
"ALPN_HTTP2","programme-nitrate.gouv.fr/79.137.76.37","443","OK","h2","",""
"ALPN","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","http/1.1","",""
"cipherlist_NULL","programme-nitrate.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","programme-nitrate.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","programme-nitrate.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_LOW","programme-nitrate.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","not offered","",""
"cipherlist_STRONG_FS","programme-nitrate.gouv.fr/79.137.76.37","443","OK","offered","",""
"cipher_order-tls1_2","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","programme-nitrate.gouv.fr/79.137.76.37","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","programme-nitrate.gouv.fr/79.137.76.37","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","programme-nitrate.gouv.fr/79.137.76.37","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","programme-nitrate.gouv.fr/79.137.76.37","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","NOT a cipher order configured","",""
"FS","programme-nitrate.gouv.fr/79.137.76.37","443","OK","offered","",""
"FS_ciphers","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","programme-nitrate.gouv.fr/79.137.76.37","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","yes","",""
"sessionresumption_ticket","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","not supported","",""
"sessionresumption_ID","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","supported","",""
"TLS_timestamp","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","random","",""
"certificate_compression","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","none","",""
"clientAuth","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","none","",""
"cert_numbers","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","1","",""
"cert_signatureAlgorithm","programme-nitrate.gouv.fr/79.137.76.37","443","OK","SHA256 with RSA","",""
"cert_keySize","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","04F37FFAF14D9F9B94F913C3B508EE4FAD87","",""
"cert_serialNumberLen","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","18","",""
"cert_fingerprintSHA1","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","BBACB68CB1652336F54BFD832ABC7DFDAA1139B7","",""
"cert_fingerprintSHA256","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","658D0D12C3EE2125BAB6CC9EBC15E0D591410DD08F977BEC6019028212DDE14C","",""
"cert","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFATCCA+mgAwIBAgISBPN/+vFNn5uU+RPDtQjuT62HMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTEwHhcNMjQxMDE4MjMzNzE1WhcNMjUwMTE2MjMzNzE0WjAkMSIwIAYDVQQDExlwcm9ncmFtbWUtbml0cmF0ZS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtH49W/aeuGofEv2u9HIXSP0SySLvdX/0fcVXjLheyxMzLWLAnDeo1OyxuUvu+o6rZ5qSvBx+e0a9oLkEeBp2ttgXEyrSNMI3nM2xAuh18zaYUpgr67Oxn/uLhWIAhe5GTzUXam7HU6nbHlhpJIJJbRae57vwPpSRNXUiXxVfuSRKAT2luLuRvbyZUMl6DHyd9IEyP632XIj1wMwwPwf0V9b+B1d+2+ANkz8PhRdIKfkBE86pzr02xlp1nn8mQF6UqAmwForlxLTdJmB5mxtkcI8GaTQxuzrHmK7EtoBlO4X4H4Xb+VhCyZqj0txrM/x2YC8RF6u7vbxq6UXWMyKCgQIDAQABo4ICHDCCAhgwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBQHynEt9eq/JR7tCiklAZ7QBQACpDAfBgNVHSMEGDAWgBTFz0ak6vTDwHpslcQtsF6SLybjuTBXBggrBgEFBQcBAQRLMEkwIgYIKwYBBQUHMAGGFmh0dHA6Ly9yMTEuby5sZW5jci5vcmcwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTEuaS5sZW5jci5vcmcvMCQGA1UdEQQdMBuCGXByb2dyYW1tZS1uaXRyYXRlLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwggEDBgorBgEEAdZ5AgQCBIH0BIHxAO8AdQCi4wrkRe+9rZt+OO1HZ3dT14JbhJTXK14bLMS5UKRH5wAAAZKiM6F6AAAEAwBGMEQCIGD71NxDKK5kPti8VL50WBaNssFScENx7rpxet+p32hGAiAebfioiJPA/j7GZP0ZpihhmauRrMmMa1BKCsO7mLLfnQB2ABNK3xq1mEIJeAxv70x6kaQWtyNJzlhXat+u2qfCq+AiAAABkqIzoi0AAAQDAEcwRQIhANjcoWU4aRPiRix8bjLtAvgEawuYh8z65BkByR4Gu3n6AiBYcq+AEvQy2W0LdNB25tQXjT3gLQPypiHM3H3kF9+fPDANBgkqhkiG9w0BAQsFAAOCAQEACZD/8QdalHmFwdNt5n2jrw6APYrQmJLM7vJAZZJ/KxFOdxXV/ix/h0GOFK8V48CjeyoTss1lCGKIu9sbJxryg8VFwir0pkVzHqGCFBxAVfczebkzkC9Rf3LNTKPQ+iuxsyjrSMo0mIhGk9hweXUMB33PuzyyyYBscdFPv239cpBLUKsEC0IXm/n3ruPis+tuf3Wo6c+/rWVqQkVClyEhYr/58isP/1LYpKUwcP5bfAIJ60JdKY1GKIAjfF5NqnqFsdm1Q7gW4s+sgfecWiuRqwXB57BpYpbDQ3ehMXLY1JW3qH+pid6NSahrInDfbJW7B0clRl4KxLjUeN98Gp4geg==\n-----END CERTIFICATE-----","",""
"cert_commonName","programme-nitrate.gouv.fr/79.137.76.37","443","OK","programme-nitrate.gouv.fr","",""
"cert_commonName_wo_SNI","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","vps381334.ovh.net","",""
"cert_subjectAltName","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","programme-nitrate.gouv.fr","",""
"cert_trust","programme-nitrate.gouv.fr/79.137.76.37","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","programme-nitrate.gouv.fr/79.137.76.37","443","OK","passed.","",""
"cert_certificatePolicies_EV","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","no","",""
"cert_expirationStatus","programme-nitrate.gouv.fr/79.137.76.37","443","OK","63 >= 30 days","",""
"cert_notBefore","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","2024-10-18 23:37","",""
"cert_notAfter","programme-nitrate.gouv.fr/79.137.76.37","443","OK","2025-01-16 23:37","",""
"cert_extlifeSpan","programme-nitrate.gouv.fr/79.137.76.37","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","not present","",""
"cert_crlDistributionPoints","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","--","",""
"cert_ocspURL","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","http://r11.o.lencr.org","",""
"OCSP_stapling","programme-nitrate.gouv.fr/79.137.76.37","443","OK","offered","",""
"cert_ocspRevoked","programme-nitrate.gouv.fr/79.137.76.37","443","OK","not revoked","",""
"cert_mustStapleExtension","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","--","",""
"DNS_CAArecord","programme-nitrate.gouv.fr/79.137.76.37","443","LOW","--","",""
"certificate_transparency","programme-nitrate.gouv.fr/79.137.76.37","443","OK","yes (certificate extension)","",""
"certs_countServer","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","2","",""
"certs_list_ordering_problem","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","no","",""
"cert_caIssuers","programme-nitrate.gouv.fr/79.137.76.37","443","INFO","R11 (Let's Encrypt from US)","",""
