"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","HTTP","",""
"pre_128cipher","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","No 128 cipher limit bug","",""
"SSLv2","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","not offered","",""
"SSLv3","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","not offered","",""
"TLS1","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","not offered","",""
"TLS1_1","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","not offered","",""
"TLS1_2","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","offered","",""
"TLS1_3","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","offered with final","",""
"ALPN","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","http/1.1","",""
"cipherlist_NULL","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_LOW","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","not offered","",""
"cipherlist_STRONG_FS","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","offered","",""
"cipher_order-tls1_2","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","NOT a cipher order configured","",""
"FS","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","offered","",""
"FS_ciphers","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","'server name/#0' 'renegotiation info/#65281' 'key share/#51' 'supported versions/#43' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","yes","",""
"sessionresumption_ticket","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","not supported","",""
"sessionresumption_ID","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","not supported","",""
"TLS_timestamp","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","random","",""
"certificate_compression","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","none","",""
"clientAuth","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","none","",""
"cert_numbers","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","1","",""
"cert_signatureAlgorithm","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","SHA256 with RSA","",""
"cert_keySize","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","58D21DBD6C41D22C2608C614292E7F55","",""
"cert_serialNumberLen","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","16","",""
"cert_fingerprintSHA1","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","4EACDFA4AA5685127259E700FF1D8B8BDB4BA940","",""
"cert_fingerprintSHA256","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","B8BD3344AB4725D1D42204A88F1E5A329E0C70E9465ABB6FD5AE027F74FD1244","",""
"cert","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIazCCBlOgAwIBAgIQWNIdvWxB0iwmCMYUKS5/VTANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjQwMTI5MjMwMDAwWhcNMjUwMjA3MjI1OTU5WjCBhTELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMSAwHgYDVQQKDBdNSU5JU1RFUkUgREUgTCdFQ09OT01JRTEvMC0GA1UEAwwmcHJvamV0cy1hY2hhdHMubWFyY2hlcy1wdWJsaWNzLmdvdXYuZnIxEzARBgNVBAUTClMyOTg4ODA4MjcwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDIUhBLYIMH+rFhtoioUfPz5RZQdfgXaIK42ZosniSrBe0xyE0/Njed3kZKnfAE/ZzUEOZFh+ouehGVDUPVFCG5GZj437UVE5rsbRC/DlUSkzqZczoAe4T9B7bemB320s8LNryfxjOAc0sL6PGNf5fSL9LdS5uQ1N1SI2TcOCAj3mW2EojF23n6yDc/6zwyBGVZOrf32mDgmcU8x11oA/9eM0RpewGo39mKRJWyB2hYGs/29YAoJ9ACTbg7eACt3xYHPMybYFPR99pE4uESGz9GJ7QX9PJhNGfdZaTeE0oo6di7rx7LtaNz6Akd3KP3aoxjEa8RK0JEAdV+vBlQNtMrAgMBAAGjggPcMIID2DCB5AYIKwYBBQUHAQEEgdcwgdQwOAYIKwYBBQUHMAKGLGh0dHA6Ly9hdXRvcml0ZS5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuZGVyMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvc2VydmljZXNjYS5kZXIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuZGhpbXlvdGlzLmNvbTAuBggrBgEFBQcwAYYiaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5jZXJ0aWduYS5mcjAfBgNVHSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjAJBgNVHRMEAjAAMGEGA1UdIARaMFgwCAYGZ4EMAQICMEwGCyqBegGBMQIFAQEBMD0wOwYIKwYBBQUHAgEWL2h0dHBzOi8vd3d3LmNlcnRpZ25hLmNvbS9hdXRvcml0ZS1jZXJ0aWZpY2F0aW9uMGUGA1UdHwReMFwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvc2VydmljZXNjYS5jcmwwLaAroCmGJ2h0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmNybDATBgNVHSUEDDAKBggrBgEFBQcDATAOBgNVHQ8BAf8EBAMCBaAwMQYDVR0RBCowKIImcHJvamV0cy1hY2hhdHMubWFyY2hlcy1wdWJsaWNzLmdvdXYuZnIwHQYDVR0OBBYEFCKB2wta5ABm/IuYFuhX2n6Qssu/MIIBgAYKKwYBBAHWeQIEAgSCAXAEggFsAWoAdwBOdaMnXJoQwzhbbNTfP1LrHfDgjhuNacCx+mSxYpo53wAAAY1Z5ItDAAAEAwBIMEYCIQD8HP5Zw2T9EzLSk0SpnZ4Rz6eXkrCb8d8jKOcDFEotbQIhAP2fWWdettCm6HewX1WsxATGzE2JWv1YfhBt1GQlLQA2AHYAzxFW7tUufK/zh1vZaS6b6RpxZ0qwF+ysAdJbd87MOwgAAAGNWeSGygAABAMARzBFAiEAoA4OTQvT3Glvdt8p5tYBbbEyCNEhYWNMoOZmgdK1AXsCICELkLKouQ3OM4/uQAblXs3e+0eXQN8+8OZM+4I9jU9fAHcA5tIxY0B3jMEQQQbXcbnOwdJA9paEhvu6hzId/R43jlAAAAGNWeSNzAAABAMASDBGAiEA/rX6qG/dWtJwjqanBAeFBlPj2JcYkUiMbGg+ptRes0ACIQCzfaM+WL2kFjnUR8i1eW4B2NWjp4+doO9xwVP1zL50WzANBgkqhkiG9w0BAQsFAAOCAgEAUfZ0A0cEs3ByI5jzhswehOJz41FET6qElV04a03i5EpT8Ow3FHt3RC+ldpt32tYRgunH3rYB8TAQ4iv3vywu6kkGHk4CWzycA7M5itcjOa4qsueTIIe52qOzXsJY3oLw6CT1U6oLy2vJ3RxwLQdSU4HMYciowNfsGpG95wH1h/2a8xlKGAZNA8iNq/qMSwhPrwCbNMRdkmJNTHPYECoYl7iGZeLF+P87cizqPmIsM7i0e2+4jp2berk6L5ZbjDnMarQHaYuskr+++R7a/pex+RDGZNTaoP7Xv/3WqzWxhTsvuubMsxXOXKlVlqBaa9jmZ9Osn01Qs965yNEmzMDB+IFP3cbTrVLBOHSIbb+LIfXhX67Q2sr0Fup03Exfj0SkPSWwVOq7Xg5w+HanVgdm06h0g/YoeRDb+qXrva00YYjgl+JBcIZ/0EYsZvVOokiUyTNqCK+Ypx+ouwivhQEYTthQto1YphcL05pzmsqeIf3zeeikmGE80h/bxOEwaneG2BPlf9LTLrMWFzUeNB1cMNxgCNJ0dP0R4SPQrlZsTDGCAXu9uGqulR2WdCwuNl78ZdXdCatUt+HBERvqNV3gthpbaMqrkA7KmLGOyXm//CswjOiH+ktRNC/lTDqSes8yK6lR7e1DRpRSYIjJMjnXQLCT9/2HXh8zWkGn0D2vrYo=\n-----END CERTIFICATE-----","",""
"cert_commonName","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","projets-achats.marches-publics.gouv.fr","",""
"cert_commonName_wo_SNI","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","projets-achats.marches-publics.gouv.fr","",""
"cert_trust","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","passed.","",""
"cert_certificatePolicies_EV","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","no","",""
"cert_expirationStatus","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","335 >= 60 days","",""
"cert_notBefore","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","2024-01-29 23:00","",""
"cert_notAfter","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","2025-02-07 22:59","",""
"cert_extlifeSpan","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","not present","",""
"cert_crlDistributionPoints","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","http://servicesca.ocsp.dhimyotis.com http://servicesca.ocsp.certigna.fr","",""
"OCSP_stapling","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","LOW","not offered","",""
"cert_mustStapleExtension","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","--","",""
"DNS_CAArecord","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","LOW","--","",""
"certificate_transparency","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","OK","yes (certificate extension)","",""
"certs_countServer","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","3","",""
"certs_list_ordering_problem","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","LOW","yes","",""
"cert_caIssuers","projets-achats.marches-publics.gouv.fr/185.42.117.109","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
