"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","primealaconversion.gouv.fr/217.109.233.87","443","INFO","HTTP","",""
"pre_128cipher","primealaconversion.gouv.fr/217.109.233.87","443","INFO","No 128 cipher limit bug","",""
"SSLv2","primealaconversion.gouv.fr/217.109.233.87","443","OK","not offered","",""
"SSLv3","primealaconversion.gouv.fr/217.109.233.87","443","OK","not offered","",""
"TLS1","primealaconversion.gouv.fr/217.109.233.87","443","INFO","not offered","",""
"TLS1_1","primealaconversion.gouv.fr/217.109.233.87","443","INFO","not offered","",""
"TLS1_2","primealaconversion.gouv.fr/217.109.233.87","443","OK","offered","",""
"TLS1_3","primealaconversion.gouv.fr/217.109.233.87","443","OK","offered with final","",""
"ALPN","primealaconversion.gouv.fr/217.109.233.87","443","INFO","not offered","",""
"cipherlist_NULL","primealaconversion.gouv.fr/217.109.233.87","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","primealaconversion.gouv.fr/217.109.233.87","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","primealaconversion.gouv.fr/217.109.233.87","443","OK","not offered","","CWE-327"
"cipherlist_LOW","primealaconversion.gouv.fr/217.109.233.87","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","primealaconversion.gouv.fr/217.109.233.87","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","primealaconversion.gouv.fr/217.109.233.87","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","primealaconversion.gouv.fr/217.109.233.87","443","INFO","not offered","",""
"cipherlist_STRONG_FS","primealaconversion.gouv.fr/217.109.233.87","443","OK","offered","",""
"cipher_order-tls1_2","primealaconversion.gouv.fr/217.109.233.87","443","OK","server","",""
"cipherorder_TLSv1_2","primealaconversion.gouv.fr/217.109.233.87","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","primealaconversion.gouv.fr/217.109.233.87","443","OK","server","",""
"FS","primealaconversion.gouv.fr/217.109.233.87","443","OK","offered","",""
"FS_ciphers","primealaconversion.gouv.fr/217.109.233.87","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","primealaconversion.gouv.fr/217.109.233.87","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","primealaconversion.gouv.fr/217.109.233.87","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","primealaconversion.gouv.fr/217.109.233.87","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","primealaconversion.gouv.fr/217.109.233.87","443","INFO","yes","",""
"sessionresumption_ticket","primealaconversion.gouv.fr/217.109.233.87","443","INFO","not supported","",""
"sessionresumption_ID","primealaconversion.gouv.fr/217.109.233.87","443","INFO","supported","",""
"TLS_timestamp","primealaconversion.gouv.fr/217.109.233.87","443","INFO","random","",""
"certificate_compression","primealaconversion.gouv.fr/217.109.233.87","443","INFO","none","",""
"clientAuth","primealaconversion.gouv.fr/217.109.233.87","443","INFO","none","",""
"cert_numbers","primealaconversion.gouv.fr/217.109.233.87","443","INFO","1","",""
"cert_signatureAlgorithm","primealaconversion.gouv.fr/217.109.233.87","443","OK","SHA256 with RSA","",""
"cert_keySize","primealaconversion.gouv.fr/217.109.233.87","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","primealaconversion.gouv.fr/217.109.233.87","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","primealaconversion.gouv.fr/217.109.233.87","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","primealaconversion.gouv.fr/217.109.233.87","443","INFO","AD5AF6EB35FCFCA417B736F777FD5C5E","",""
"cert_serialNumberLen","primealaconversion.gouv.fr/217.109.233.87","443","INFO","16","",""
"cert_fingerprintSHA1","primealaconversion.gouv.fr/217.109.233.87","443","INFO","09E0129E2DEC87060A159B077CD3A2B994571024","",""
"cert_fingerprintSHA256","primealaconversion.gouv.fr/217.109.233.87","443","INFO","1056008E09C8717090B36B14AB3AA1183CBA9DADDF32D0F88AB091F64254852C","",""
"cert","primealaconversion.gouv.fr/217.109.233.87","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIhzCCBm+gAwIBAgIRAK1a9us1/PykF7c293f9XF4wDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTI0MDMyMDIzMDAwMFoXDTI0MTAyMDIxNTk1OVowgYgxCzAJBgNVBAYTAkZSMRkwFwYDVQQHDBBQQVJJUyBMQSBERUZFTlNFMSQwIgYDVQQKDBtTRyBNSU4gVFJBTlMgRUNPTCBTT0xJREFJUkUxIzAhBgNVBAMMGnByaW1lYWxhY29udmVyc2lvbi5nb3V2LmZyMRMwEQYDVQQFEwpTMzAzOTUwOTU0MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA5OIt8PVj4Bsog1wM8L56aXBD0cYzAlRrE9iYd+Qb4T0yjH+vAD+pQ01IlrIUUhACcfIx/AvBy1DlswP5DWt5/EB271I5/dOEh7xJjJpy8QGpJi4f/PAYjXuOaDvEMzft07zx2EPZ7T09nr5yiO5M2fQR851uByomDJjHxfb+8TSiHW3iRHiYuj8soYJV8hj0XQs76McsqW803oUUYpCwfl62A1F/SYOcjeKlRfvuGaL7xL6FdOjl90eTbE766G+Q6xYRV9yICfDp9KCtqDxR/MaIKQFkvuJ1oX4rM0sHO24xlMvs//y40AaCQAkt9JZKPinxVkXM4KPYmhIXtnmfuQIDAQABo4ID9DCCA/AwgeQGCCsGAQUFBwEBBIHXMIHUMDgGCCsGAQUFBzAChixodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmRlcjA2BggrBgEFBQcwAoYqaHR0cDovL2F1dG9yaXRlLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuZGVyMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMDAGCCsGAQUFBzABhiRodHRwOi8vc2VydmljZXNjYS5vY3NwLmRoaW15b3Rpcy5jb20wHwYDVR0jBBgwFoAUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwDAYDVR0TAQH/BAIwADBhBgNVHSAEWjBYMAgGBmeBDAECAjBMBgsqgXoBgTECBQEBATA9MDsGCCsGAQUFBwIBFi9odHRwczovL3d3dy5jZXJ0aWduYS5jb20vYXV0b3JpdGUtY2VydGlmaWNhdGlvbjBlBgNVHR8EXjBcMC2gK6AphidodHRwOi8vY3JsLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5jcmwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvc2VydmljZXNjYS5jcmwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMEUGA1UdEQQ+MDyCGnByaW1lYWxhY29udmVyc2lvbi5nb3V2LmZygh53d3cucHJpbWVhbGFjb252ZXJzaW9uLmdvdXYuZnIwHQYDVR0OBBYEFO8dBhwx8erDrsbHb8SjIBv2UPEzMIIBgQYKKwYBBAHWeQIEAgSCAXEEggFtAWsAdwB2/4g/Crb7lVHCYcz1h7o0tKTNuyncaEIKn+ZnTFo6dAAAAY5h5KhCAAAEAwBIMEYCIQDFoL3df8IuIKMewQ9iMMJFzfr5M/sKgubY4NeGquQwOAIhANFdwccSxzOcUFksOPg57K3MNbDoUZNgBHVycLnWoeApAHcA7s3QZNXbGs7FXLedtM0TojKHRny87N7DUUhZRnEftZsAAAGOYeSsewAABAMASDBGAiEAjlQTb6qS8yj3mHA16c9Tjs7lZsIA6+Y1k1vXQyIjt8cCIQDIFyrW1NiMaziilDaOXa18rgCI7n/+CpMcUeV50riBVAB3ANq2v2s/tbYin5vCu1xr6HCRcWy7UYSFNL2kPTBI1/urAAABjmHkrWgAAAQDAEgwRgIhANtlGbzDOelikeVPOZ6xZzHd314X+YUkbxvimAQ2c+GHAiEAj2S+fXR9ipuq5H756EKE5br6kJ8xIIvavkzDs7kX6zkwDQYJKoZIhvcNAQELBQADggIBAKbGCU6Biy/TH0J957c9jAH4eCWsbs77kcGSkU5rnT9V4D36EskJ3WF2DlAWbYev4a35/DwQgBJ1Auukd3n3Vn0o3AngilqDivT0Y6CyP/hm8rp+tJN+LYYJP0xfz5p2HGtswUwiIWUZl7vOTHrzCrJggDopIX0Zp/X01xJYZLZn6UijQDW3EhRYYdHJUzl2310WHXN3KfjShH5A98LahuKcVIAm2ldMQJ+wTq4equ0tr1c5s8fytJSZD1pEfoG8NJOQ5zZlpfXpJrWG6SF/nS0tq3B5WGptf94MVUzxkUOYq9fGoA3MqQi9iyhfQ/oSoHZrXhexzIHAsBo0dMoiONCRcRrV7y6d+2pgb97mkEUJNnHeaHcSRR3eXMtBk8U/sbBYVldpl/oZcfbrOqv9QnczibfQagYTSsljjkmKBILbHATCRdD9nd/+yrp1SkODVREo7CW0wfgODbey/qJgNuQLouZgf6nTO6/U8JdMdRWyAm5Y55Ot3TUVMY3UGyDrzQV1X4yiWdhsHLqoBWCMFpgloWQgoHr2Mi8t5I02GGIiof+CDkQqkabENRue9p3gVtE/wb+dOO7k98uZn3VhQNA+jGMHLazXY/z+ungSz6oRrKBP4qfVY/DfkOEeRFuxNV7JluXyfobuWcWY72343mv0Ul2Vzy36UG3b25YzCScH\n-----END CERTIFICATE-----","",""
"cert_commonName","primealaconversion.gouv.fr/217.109.233.87","443","OK","primealaconversion.gouv.fr","",""
"cert_commonName_wo_SNI","primealaconversion.gouv.fr/217.109.233.87","443","INFO","primealaconversion.gouv.fr","",""
