"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","F7971A00FAAE4CB0DFA281A25BE1AB0F","",""
"cert_serialNumberLen","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","F43CCC39EF27F669626C333507494A4CDB893C04","",""
"cert_fingerprintSHA256","pyrenees-atlantiques.gouv.fr/77.159.252.140","443","INFO","6CBA2D7DCB6A8D2E26F233B3FB8288631FCD31FFBCEE45CFB0819FD45C339B40","",""
